Kód;Elnevezés;Ország;Tájegység;"Dátum (ÉÉÉÉ-HH-NN)";Napok;"Szállás (sator/turistahaz/apartman/hotel)";"Túramód (gyalogos/kerekparos/vizi/si/barlangi/munka)";Altípus;Km;"Magashegyi km";"Szintemelkedés (m)";"Magashegyi szintemelkedés (m)";"Túraidő (óra)";"Többnapos típusa (csillag/vandor)";"Eltöltött éjszakák";Hajóátemelések;"Vendég résztvevők";"Lizzardier pont";"MTSZ pont"
;"RPDDK02 részlet";HU;Őrség;2026-05-30;1;;gyalogos;normal;27;;300;;;;0;0;1;0;47
558GY;"Rax - mászótábor 2026";AT;Niederösterreich;2026-05-24;3;sator;gyalogos;normal;15.2;1.8;1153;173;;csillag;2;0;6;0;60
556GY;Vértes-tábor;HU;Vértes;2026-05-02;1;;gyalogos;normal;12.9;;361;;;;0;0;0;0;27
544GY;"Szerbia - Tara Nemzeti Park";RS;Dinári-hegység;2026-05-01;4;hotel;gyalogos;normal;32;;1522;;;csillag;0;0;0;18;78
456;"Petőfi Túra 70 TT";HU;Kiskunság;2026-04-25;1;;gyalogos;normal;72;;300;;16;;0;0;0;0;114
555GY;"Gánt - bauxit bánya";HU;Vértes;2026-04-17;1;;gyalogos;normal;11.3;;277;;;;0;0;0;0;22
452;"Zálog-bérc kör";HU;Börzsöny;2026-04-12;1;;gyalogos;normal;15;;400;;6;;0;0;1;0;31
455;"Strázsa Honvéd TT";HU;Alföld;2026-04-11;1;;gyalogos;normal;46;;186;;12;;0;0;0;0;73
454;"Dél-Dunántúli piros";HU;Dunántúli-domság;2026-04-08;1;;gyalogos;normal;24;;350;;6;;0;0;0;0;43
554GY;Kő-hegyek;HU;Börzsöny;2026-04-06;1;;gyalogos;normal;14;;257;;;;0;0;0;0;26
553GY;Margita;HU;Gödöllői-dombság;2026-04-05;1;;gyalogos;normal;11;;257;;;;0;0;0;0;22
453;"Bükki Kéktúra jelvényszerző túramozgalom";HU;Bükk;2026-04-05;1;;gyalogos;normal;26;;1000;;7;;0;0;0;0;59
543GY;"Kanyonok Dalmáciában: Krupa és Paklenica";HR;Velebit;2026-04-03;4;apartman;gyalogos;normal;44;;1828;;;csillag;0;0;0;20;103
552GY;Csákányospuszta;HU;Vértes;2026-03-29;1;;gyalogos;normal;13.1;;393;;;;0;0;0;0;28
551GY;Péliföldszentkereszt;HU;Gerecse;2026-03-28;1;;gyalogos;normal;10.2;;338;;;;0;0;0;0;22
550GY;Széna-hegy;HU;Budai-hegység;2026-03-22;1;;gyalogos;normal;13;;397;;;;0;0;0;0;27
549GY;"Nagy-Kopasz kör";HU;Budai-hegység;2026-03-21;1;;gyalogos;normal;9.8;;301;;;;0;0;0;0;21
447;"Felfedező túra Nomádhoz";HU;Börzsöny;2026-03-21;1;;gyalogos;normal;17;;706;;4;;0;0;0;0;40
